episode,target,ai_starts,ai_payout,score,both_steal,ai_action,target_action,policy_loss,value_loss,entropy,loss
28,honest,1,100.0,1.0,0,STEAL,SPLIT,-0.018879510462284088,0.3396193603439315,0.219291802495718,0.14873725967481732
29,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.04693794995546341,0.20280004385858774,0.19268553610891104,0.05253521353006363
30,always_split,1,100.0,1.0,0,STEAL,SPLIT,-5.430355668067932e-05,0.08883658178092446,0.17601949907839298,0.042603788897395134
31,always_steal,0,0.0,0.0,0,SPLIT,STEAL,0.006117166951298714,0.7418135907500982,0.17964551504701376,0.37522750440984964
32,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.051881738007068634,0.11595766532119,0.15964849991723895,0.004500607028603554
33,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.00283207930624485,0.7833398804068565,0.14235592633485794,0.3874143020948395
34,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,-0.0011474024504423141,0.07200245054991683,0.13591135013848543,0.03349470533430576
35,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.007689274847507477,0.008546990604827442,0.14654799969866872,-0.004881270229816437
36,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.0175522118806839,0.564953894354403,0.15967631596140563,0.29843240045011044
37,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.0012473836541175842,0.06055569529416971,0.15582422469742596,0.027472199872136116
38,honest,1,100.0,1.0,0,STEAL,SPLIT,0.005434636026620865,0.745944956317544,0.16515885666012764,0.37675552564905956
39,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.0022801123559474945,0.08720525046055627,0.16655970690771937,0.039656913839280605
40,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.020237961784005165,0.009397980284120422,0.18686243053525686,-0.01740759238600731
41,always_steal,0,0.0,0.0,0,SPLIT,STEAL,0.026934897527098656,0.5495032034814358,0.20429551252163947,0.2996435551904142
42,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.007704818621277809,0.059812987604345835,0.20244819042272866,0.020177196711301804
43,honest,0,50.0,0.5,0,SPLIT,SPLIT,0.0013019312173128128,0.18593620613683015,0.20676148310303688,0.09220241382718086
44,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,0.003947034478187561,0.14996751391663565,0.20129070919938385,0.07691789232194424
45,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.031298574060201645,0.010702655933769734,0.2064750858116895,-0.02801201306283474
